2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【第8步A】原始市场状态: TRENDING  强度=HIGH  ADX=22.21  ATR比值=0.78  EMA发散=0.63%
2026-06-23 02:01:02 | src.signal_handler       | INFO  | [REGIME UPDATE] FOGOUSDT TRENDING confirm=1/1（首次）
2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【第8步A+】市场状态已稳定: TRENDING  强度=HIGH  confirm=1
2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【第8步B】开始技术分析（获取K线 + 计算EMA/RSI/ATR）...
2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【成交量过滤】FOGOUSDT vol=0.00 < 最低要求1.50（力度1個），跳过
2026-06-23 02:01:02 | src.web_listener         | INFO  | 检测到新报警: MEGA 第1次报警 入场价=0.058160
2026-06-23 02:01:02 | src.signal_handler       | INFO  | ========================================================
2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【第1步跳过】收到信号: 币种=MEGA 类型=LONG 第1次报警 来源=yss-signal.com
2026-06-23 02:01:02 | src.signal_handler       | INFO  |   入场价: 0.058160
2026-06-23 02:01:02 | src.signal_handler       | INFO  | 【第2步】信号类型检查通过: LONG
2026-06-23 02:01:03 | src.exchange             | INFO  | 合约 MEGAUSDT 在 Binance 合约市场存在
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第3步】自动映射 MEGA -> MEGAUSDT
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第3步】映射 MEGA -> MEGAUSDT
2026-06-23 02:01:03 | src.exchange             | INFO  | 合约 MEGAUSDT 在 Binance 合约市场存在
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第5步】合约存在检查通过
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第6步】持仓检查通过（无持仓）
2026-06-23 02:01:03 | src.exchange             | INFO  | 合约账户 USDT 余额: 5130.15
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第7步】账户余额: 5130.15 USDT
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第8步A】开始市场状态分类（获取4hK线 + ADX + ATR比值）...
2026-06-23 02:01:03 | src.exchange             | INFO  | 获取 MEGAUSDT K线成功: 周期=4h 条数=200
2026-06-23 02:01:03 | src.exchange             | INFO  | 获取 MEGAUSDT K线成功: 周期=1h 条数=300
2026-06-23 02:01:03 | src.exchange             | INFO  | 获取 MEGAUSDT K线成功: 周期=15m 条数=300
2026-06-23 02:01:03 | src.analyzer             | INFO  | MEGAUSDT [完备评估]: 状态=RANGING(MID) 维持周期=0 | 评级=poor | 建议仓位=21.0% | 波动止损=5.0%
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第8步A】原始市场状态: RANGING  强度=MID  ADX=12.12  ATR比值=1.2  EMA发散=0.39%
2026-06-23 02:01:03 | src.signal_handler       | INFO  | [REGIME UPDATE] MEGAUSDT RANGING confirm=1/1（首次）
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第8步A+】市场状态已稳定: RANGING  强度=MID  confirm=1
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【第8步B】开始技术分析（获取K线 + 计算EMA/RSI/ATR）...
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【成交量过滤】MEGAUSDT vol=0.00 < 最低要求1.00（力度1個），跳过
2026-06-23 02:01:03 | src.web_listener         | INFO  | 检测到新报警: MYX 第2次报警 入场价=0.112600
2026-06-23 02:01:03 | src.signal_handler       | INFO  | 【逐级加严】预警次数=2, 力度等级=1, 需confirm>=2, 成交量乘数=1.5
2026-06-23 02:01:03 | src.signal_handler       | INFO  | ========================================================
